group,basepath,lfp,sleep_states,tracking_dlc,tracking_animalBehavior,tracking_restrictxy,sorting_Kilosort,sorting_phyRez,tracking_sessionBehavioralTracking,cell_metrics,ripples,anatomical_map,behavior_scoring
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day25_211201_085422,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day26_211202_100114,1,1,0,0,0,1,1,0,1,1,1,0
hpc01,Y:\laura_berkowitz\app_ps1_ephys\data\hpc01\day27_211203_095713,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\day00_220211_155904,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\day01_220212_130538,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day02_220213_132346,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day03_220214_115829,1,1,1,1,1,1,1,1,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day04_220215_103627,1,1,1,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day05_220216_112541,1,1,1,1,1,1,1,1,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day06_220217_085558,1,1,1,1,1,1,1,1,1,1,1,1
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day07_220218_100553,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day08_220219_124637,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day09_220221_094101,1,1,1,1,1,1,1,1,1,1,1,1
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day10_220222_095721,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day11_220223_095442,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day12_220225_115348,1,1,1,1,1,1,1,1,1,1,1,1
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day13_220226_125913,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day14_220227_081649,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day15_220301_094823,1,1,1,1,1,1,1,1,1,1,1,1
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day16_220302_103144,1,1,0,0,0,1,1,0,1,1,1,0
hpc04,Y:\laura_berkowitz\app_ps1_ephys\data\hpc04\hpc04_day17_220303_122516,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day00_220303_122516,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day01_220304_103857,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day02_220307_094326,1,1,0,0,0,1,1,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day03,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day04_220309_085753,1,1,1,1,1,1,0,1,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day05_220310_113927,1,1,1,1,1,1,0,1,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day06_220311_134342,1,1,1,1,1,1,0,1,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day07_220313_140520,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day08_220314_093036,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day09_220315_101140,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day10_220316_095114,1,1,1,1,1,1,1,1,1,1,1,1
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day11_220317_090555,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day12_220318_130744,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day13_220319_101549,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day14_220320_102335,1,1,1,1,1,1,1,1,1,1,1,1
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day15_220321_124146,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day16_220322_095924,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day17_220324_085048,1,1,1,1,1,1,1,1,1,1,1,1
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day18_220325_094521,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day19_220326_134737,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day20_220328_094147,1,1,1,1,1,1,1,1,1,1,1,1
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day21_220329_101843,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day22_220330_102036,1,1,0,0,0,1,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day23_220401_102719,1,1,0,0,0,1,1,0,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day24_220402_114358,1,1,1,1,1,1,1,1,1,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day25_220403_125728,1,1,1,0,0,0,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day26_220404_121037,1,1,1,0,0,0,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day27_220405_103420,1,1,1,0,0,0,0,0,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day28_220406_101032,1,1,1,1,1,0,0,1,0,1,1,0
hpc05,Y:\laura_berkowitz\app_ps1_ephys\data\hpc05\hpc05_day29_220407_124118,1,1,1,1,1,1,1,1,1,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day00_220303_122516,1,1,0,0,0,1,0,0,0,0,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day01_220304_103857,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day02_220307_094326,1,1,0,0,0,1,0,0,0,1,1,0
hpc06,Y:\laura_berkowitz\app_ps1_ephys\data\hpc06\hpc06_day03,1,1,0,0,0,1,0,0,0,0,1,0
